Window resized to 1280, 800
         25683851 function calls (25534927 primitive calls) in 24.489 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1342    0.003    0.000    0.003    0.000 document.py:447(_delete_text)
      992    0.003    0.000    0.003    0.000 __init__.py:651(_get_location)
    12731    0.003    0.000    0.003    0.000 __init__.py:22(__init__)
     1342    0.003    0.000    7.829    0.006 document.py:281(_set_text)
        2    0.003    0.002    0.047    0.024 __init__.py:139(_create)
    20918    0.003    0.000    0.003    0.000 layout.py:1064(<lambda>)
      165    0.003    0.000    0.012    0.000 entity.py:107(__str__)
     1627    0.003    0.000    0.003    0.000 __init__.py:26(length)
     3159    0.003    0.000    0.003    0.000 world.py:19(<lambda>)
     1164    0.003    0.000    0.005    0.000 __init__.py:156(m_tick)
     4663    0.003    0.000    0.003    0.000 {method 'strip' of 'str' objects}
     1164    0.003    0.000    0.004    0.000 debug.py:170(m_tick)
     1164    0.003    0.000    7.756    0.007 __init__.py:268(_set_text)
     2127    0.003    0.000    0.016    0.000 __init__.py:73(CFUNCTYPE)
    17620    0.003    0.000    0.003    0.000 layout.py:253(<lambda>)
        1    0.003    0.003    0.006    0.006 png.py:36(<module>)
      184    0.003    0.000    0.007    0.000 layout.py:1405(_set_x)
    11720    0.003    0.000    0.003    0.000 {built-in method builtins.setattr}
     3073    0.003    0.000    0.003    0.000 debug.py:101(m_dead_entity)
        1    0.003    0.003    0.019    0.019 pil.py:36(<module>)
        7    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
    20950    0.003    0.000    0.003    0.000 layout.py:1331(<lambda>)
    20950    0.003    0.000    0.003    0.000 layout.py:1338(<lambda>)
    21195    0.003    0.000    0.003    0.000 {built-in method time.clock}
     1492    0.003    0.000    0.028    0.000 __init__.py:309(flip)
    20918    0.003    0.000    0.003    0.000 layout.py:1067(<lambda>)
     1627    0.003    0.000    0.006    0.000 __init__.py:35(normalised)
    27353    0.003    0.000    0.003    0.000 message.py:182(name)
     1523    0.003    0.000    0.015    0.000 layout.py:256(__init__)
     2721    0.003    0.000    0.049    0.000 __init__.py:357(__getattr__)
     1342    0.003    0.000    0.083    0.000 document.py:434(delete_text)
     1523    0.003    0.000    0.007    0.000 runlist.py:287(__init__)
    20594    0.003    0.000    0.003    0.000 layout.py:1070(<lambda>)
     1157    0.003    0.000    0.003    0.000 __init__.py:256(unset_state)
     5538    0.003    0.000    0.004    0.000 queue.py:202(_qsize)
     4656    0.003    0.000    0.003    0.000 message.py:17(__init__)
     2328    0.003    0.000    0.174    0.000 layout.py:844(draw)
     5543    0.003    0.000    0.003    0.000 {method 'acquire' of '_thread.RLock' objects}
    19783    0.003    0.000    0.003    0.000 layout.py:1334(<lambda>)
     1523    0.003    0.000    0.004    0.000 runlist.py:69(__init__)
     1345    0.002    0.000    0.003    0.000 document.py:427(_insert_text)
     1523    0.002    0.000    0.002    0.000 layout.py:943(_get_top)
     1345    0.002    0.000    7.742    0.006 document.py:411(insert_text)
     4351    0.002    0.000    0.002    0.000 __init__.py:603(__init__)
     1264    0.002    0.000    0.013    0.000 gl_info.py:100(<genexpr>)
     5540    0.002    0.000    0.002    0.000 {method '__enter__' of '_thread.lock' objects}
     1164    0.002    0.000    0.044    0.000 camera.py:76(m_tick)
     3590    0.002    0.000    0.015    0.000 random.py:214(randint)
     2321    0.002    0.000    0.002    0.000 layout.py:647(set_state)
     1501    0.002    0.000    0.015    0.000 gl_info.py:85(set_active_context)
     3250    0.002    0.000    0.002    0.000 {built-in method math.cos}
        1    0.002    0.002    0.511    0.511 __init__.py:92(<module>)
       24    0.002    0.000    0.002    0.000 {built-in method nt.listdir}
     3046    0.002    0.000    0.003    0.000 runlist.py:300(ranges)
     1164    0.002    0.000    0.058    0.000 __main__.py:63(m_tick)
     2834    0.002    0.000    0.372    0.000 __init__.py:813(get_texture)
    18624    0.002    0.000    0.002    0.000 camera.py:25(name)
     1501    0.002    0.000    0.018    0.000 __init__.py:363(__setattr__)
     1504    0.002    0.000    0.002    0.000 {built-in method math.atan2}
     6318    0.002    0.000    0.002    0.000 efilter.py:56(<lambda>)
     1164    0.002    0.000    0.002    0.000 sortedlist.py:797(__iter__)
     3151    0.002    0.000    0.002    0.000 xy.py:8(__init__)
    18438    0.002    0.000    0.002    0.000 message.py:73(name)
        1    0.002    0.002    0.025    0.025 layout.py:154(<module>)
        1    0.002    0.002    0.044    0.044 __init__.py:129(<module>)
     2451    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
     2958    0.002    0.000    0.004    0.000 {built-in method builtins.iter}
        1    0.002    0.002    0.002    0.002 sprite.py:96(<module>)
     1792    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
     5541    0.002    0.000    0.002    0.000 weakref.py:342(_commit_removals)
     3503    0.002    0.000    0.002    0.000 behaviour.py:28(has_name)
     3159    0.002    0.000    0.002    0.000 message.py:58(__init__)
     2328    0.002    0.000    0.002    0.000 camera.py:18(__init__)
    18954    0.002    0.000    0.002    0.000 message.py:61(name)
